iter	Passed	Remaining
0	62	12363
1	64	6405
2	66	4395
3	69	3397
4	71	2790
5	73	2388
6	76	2111
7	79	1902
8	81	1730
9	83	1593
10	86	1479
11	88	1383
12	90	1301
13	92	1231
14	94	1169
15	97	1118
16	99	1070
17	101	1029
18	104	991
19	106	956
20	108	926
21	110	897
22	113	871
23	115	845
24	117	824
25	120	804
26	122	786
27	125	770
28	128	755
29	131	744
30	134	731
31	136	716
32	138	701
33	140	687
34	142	673
35	145	660
36	147	648
37	149	636
38	151	625
39	154	616
40	156	607
41	159	600
42	161	590
43	163	581
44	166	572
45	168	563
46	170	555
47	173	548
48	175	540
49	178	534
50	180	527
51	182	520
52	185	513
53	187	505
54	189	499
55	191	492
56	193	485
57	196	479
58	198	473
59	200	467
60	202	461
61	205	456
62	207	450
63	209	444
64	211	439
65	213	434
66	215	428
67	218	423
68	220	418
69	222	413
70	224	408
71	226	403
72	229	398
73	231	393
74	233	389
75	235	384
76	237	380
77	240	375
78	242	370
79	244	366
80	246	362
81	248	357
82	250	353
83	253	349
84	255	345
85	257	341
86	259	337
87	262	334
88	264	330
89	267	326
90	269	322
91	271	318
92	273	315
93	275	311
94	278	307
95	280	303
96	282	300
97	285	296
98	287	293
99	290	290
100	292	286
101	294	282
102	296	279
103	299	276
104	301	272
105	303	269
106	305	265
107	308	262
108	310	259
109	313	256
110	315	253
111	318	249
112	320	246
113	322	243
114	325	240
115	327	236
116	330	234
117	332	230
118	334	227
119	336	224
120	338	221
121	341	218
122	343	214
123	345	211
124	348	208
125	350	205
126	352	202
127	354	199
128	356	196
129	358	193
130	361	190
131	363	187
132	366	184
133	368	181
134	370	178
135	373	175
136	375	172
137	377	169
138	380	166
139	382	163
140	384	161
141	387	158
142	389	155
143	391	152
144	393	149
145	396	146
146	398	143
147	400	140
148	403	137
149	405	135
150	407	132
151	409	129
152	412	126
153	414	123
154	416	120
155	418	118
156	421	115
157	423	112
158	425	109
159	427	106
160	429	104
161	432	101
162	434	98
163	436	95
164	438	93
165	441	90
166	443	87
167	445	84
168	447	82
169	449	79
170	452	76
171	454	73
172	456	71
173	459	68
174	461	65
175	463	63
176	465	60
177	468	57
178	470	55
179	472	52
180	475	49
181	478	47
182	480	44
183	483	42
184	485	39
185	487	36
186	489	34
187	491	31
188	494	28
189	496	26
190	498	23
191	500	20
192	503	18
193	505	15
194	507	13
195	509	10
196	511	7
197	514	5
198	517	2
199	519	0
